hueso,especie,era,estado,pais,yacimiento,fecha
vertebra,Argentinosaurus,Cretacico,partido,España,Lo Hueco,27/06/2020
diente,Argentinosaurus,Cretacico,fosilizado,EEUU,Hell Creek,03/02/2023
pelvis,Spinosaurus,Cretacico,buen estado,España,Las Hoyas,25/12/2024
diente,Triceratops,Cretacico,erosión leve,EEUU,Hell Creek,24/12/2023
costilla,Argentinosaurus,Cretacico,intacto,EEUU,Morrison Formation,15/10/2020
costilla,Triceratops,Cretacico,fosilizado,España,Las Hoyas,03/11/2021
húmero,Velociraptor,Cretacico,fragmentado,EEUU,Morrison Formation,07/11/2022
pelvis,Diplodocus,Jurasico,partido,EEUU,Hell Creek,27/12/2020
garra,Tyrannosaurus Rex,Cretacico,intacto,España,Tabernas,12/09/2023
vertebra,Spinosaurus,Cretacico,buen estado,China,Yixian,19/08/2022
